Genome,Contig_number
GCA_015571595,2
GCA_017815815,4
GCA_018884465,5
GCA_013315975,1
GCA_016760775,121
GCA_016775805,1
GCA_014323515,98
GCA_014168855,2
GCA_017164255,114
GCA_016889025,2
GCA_017164285,73
GCA_016889625,1
GCA_015644765,1
GCA_016761035,83
GCA_016780725,1
GCA_013167675,3
GCA_015690185,119
GCA_016904195,3
GCA_016916575,1
GCA_017165155,2
GCA_013167775,2
GCA_017743075,3
GCA_017164615,28
GCA_013343615,7
GCA_016811895,1
GCA_018884065,5
GCA_018884505,4
GCA_013168035,4
GCA_017356185,420
GCA_016615255,101
GCA_015277555,5
GCA_016776325,1
GCA_018986835,2
GCA_016458945,5
GCA_013168255,3
GCA_014904265,3
GCA_013357345,5
GCA_018075285,4
GCA_017896205,1
GCA_014863685,1
GCA_013395855,82
GCA_014169855,3
GCA_016780285,1
GCA_014075475,3
GCA_014863665,1
GCA_017164915,2
GCA_015290725,3
GCA_013167315,4
GCA_013374275,4
GCA_014168955,4
GCA_013424805,151
GCA_013424685,89
GCA_013374295,5
GCA_015547235,76
GCA_014169095,5
GCA_019269395,1
GCA_019219285,148
GCA_014169895,3
GCA_014075795,4
GCA_019219585,158
GCA_015138955,3
GCA_015561005,74
GCA_016103355,229
GCA_013166975,1
GCA_018884545,3
GCA_018422555,257
GCA_015571895,3
GCA_014217155,6
GCA_014607535,2
GCA_015291845,1
GCA_014216555,1
GCA_013394575,1
GCA_016761015,156
GCA_019281515,110
GCA_018862815,99
GCA_016760835,115
GCA_017901015,1
GCA_018734065,2
GCA_016776305,1
GCA_019281435,139
GCA_014235625,119
GCA_014155365,83
GCA_019279855,155
GCA_018986775,4
GCA_016103345,232
GCA_019282565,70
GCA_018439435,148
GCA_013343635,4
GCA_018141245,5
GCA_016944775,7
GCA_017164395,83
GCA_015571775,6
GCA_019219395,100
GCA_016659085,1
GCA_018279125,9
GCA_014529195,132
GCA_014622965,2
GCA_016889325,2
GCA_013187505,89
GCA_013167435,4
GCA_016779865,1
GCA_017164935,2
GCA_016776385,1
GCA_014216435,1
GCA_016837755,174
GCA_016776045,1
GCA_015535035,1
GCA_014529145,136
GCA_019282385,84
GCA_017900995,1
GCA_016760395,13
GCA_015557745,76
GCA_013424545,112
GCA_017313185,149
GCA_013357365,2
GCA_016864475,2
GCA_016889125,11
GCA_013368355,136
GCA_018444645,184
GCA_019269275,1
GCA_017151115,96
GCA_014216475,1
GCA_015136895,4
GCA_013168135,2
GCA_014904185,3
GCA_014235745,90
GCA_017939345,193
GCA_016761155,92
GCA_014876365,6
GCA_018968645,2
GCA_017165275,3
GCA_013315695,10
GCA_016432805,5
GCA_016837855,235
GCA_015551035,42
GCA_014522225,14
GCA_015160355,210
GCA_013374315,2
GCA_016757655,1
GCA_013371685,5
GCA_019279815,180
GCA_016944655,5
GCA_013425135,74
GCA_014295315,1
GCA_015571955,6
GCA_014679325,6
GCA_018255835,3
GCA_015557155,104
GCA_016403625,18
GCA_016403875,2
GCA_016811855,1
GCA_013374235,5
GCA_017603565,1
GCA_014607575,2
GCA_013167515,3
GCA_016775965,1
GCA_014930915,1
GCA_013185525,199
GCA_016614735,107
GCA_016761055,129
GCA_014527935,155
GCA_014216835,1
GCA_013167475,3
GCA_013374925,328
GCA_015534855,1
GCA_014323465,107
GCA_013358945,433
GCA_013185495,198
GCA_015571795,6
GCA_013185285,52
GCA_013424425,149
GCA_013425955,6
GCA_016728085,3
GCA_013694345,5
GCA_017897525,118
GCA_016939795,7
GCA_018771545,10
GCA_017639145,4
GCA_017357505,4
GCA_013315995,2
GCA_016456405,126
GCA_014541045,2
GCA_013425935,2
GCA_016458905,3
GCA_015138575,2
GCA_016403975,3
GCA_019282295,134
GCA_016864435,2
GCA_016903275,9
GCA_016904455,9
GCA_018075345,2
GCA_019269755,1
GCA_013167875,3
GCA_014862705,290
GCA_014169595,6
GCA_019269475,1
GCA_014903695,5
GCA_018458765,91
GCA_013167335,4
GCA_019269815,1
GCA_017164895,2
GCA_017165315,2
GCA_015534995,1
GCA_014863845,1
GCA_013389695,4
GCA_015559615,94
GCA_014528335,140
GCA_017352075,3
GCA_014607515,2
GCA_017151075,52
GCA_013185635,217
GCA_014529315,123
GCA_016803855,5
GCA_016760995,90
GCA_018446435,218
GCA_015690245,220
GCA_017165455,4
GCA_014527855,96
GCA_015551085,158
GCA_017151135,170
GCA_018862825,25
GCA_014528115,137
GCA_019282375,120
GCA_014529205,139
GCA_017164775,2
GCA_015571915,6
GCA_014528065,131
GCA_013167995,5
GCA_016775925,1
GCA_016776205,1
GCA_018444005,153
GCA_018972045,1
GCA_019282075,73
GCA_013317085,4
GCA_016810015,128
GCA_013360005,137
GCA_014170975,6
GCA_015571635,6
GCA_015843075,3
GCA_015571835,3
GCA_014528465,156
GCA_019269175,1
GCA_016903815,8
GCA_016890105,4
GCA_014076685,4
GCA_014295215,4
GCA_017164335,58
GCA_017165215,2
GCA_016809855,168
GCA_018986815,3
GCA_014168835,5
GCA_016792545,75
GCA_015534975,1
GCA_018438725,196
GCA_014338505,1
GCA_013167975,3
GCA_013168075,3
GCA_018447195,151
GCA_014623405,2
GCA_018884585,2
GCA_015571695,2
GCA_017165375,3
GCA_014901815,11
GCA_015559205,49
GCA_013424285,77
GCA_016837655,193
GCA_013424715,79
GCA_013167655,2
GCA_015549645,73
GCA_013167155,3
GCA_013168115,2
GCA_017939445,79
GCA_016761095,149
GCA_016026195,4
GCA_014295235,4
GCA_015571875,6
GCA_015553995,83
GCA_013185605,209
GCA_017164975,2
GCA_017313165,162
GCA_017900975,1
GCA_014854635,7
GCA_018421245,156
GCA_017165075,2
GCA_017161035,2
GCA_017165095,3
GCA_013168055,3
GCA_018421775,208
GCA_016456535,143
GCA_016889865,9
GCA_016103275,273
GCA_016760695,93
GCA_018863045,92
GCA_014168755,4
GCA_014169275,6
GCA_014862665,209
GCA_013374255,2
GCA_015553825,87
GCA_016776245,1
GCA_018075305,3
GCA_014529745,125
GCA_018447085,130
GCA_014857965,159
GCA_017570685,9
GCA_016456495,140
GCA_016904555,6
GCA_016761175,86
GCA_013167575,3
GCA_017088465,6
GCA_013167075,2
GCA_015571535,4
GCA_016837895,168
GCA_016904175,3
GCA_018771465,7
GCA_015508805,4
GCA_013167035,1
GCA_019269915,1
GCA_014169435,2
GCA_014904215,3
GCA_013167755,3
GCA_017313175,117
GCA_019265485,1
GCA_016761115,92
GCA_013371745,4
GCA_016903835,2
GCA_019282545,104
GCA_016776185,1
GCA_018442715,156
GCA_016127695,5
GCA_016809995,187
GCA_016809935,192
GCA_019270155,1
GCA_014219485,175
GCA_018862955,76
GCA_017900955,1
GCA_016026215,3
GCA_019269675,1
GCA_014901715,9
GCA_017775245,586
GCA_013424995,206
GCA_014168735,2
GCA_016761275,113
GCA_013358935,100
GCA_013424405,81
GCA_018884565,2
GCA_016780575,1
GCA_019083945,127
GCA_014527685,125
GCA_018446655,149
GCA_019281455,112
GCA_015534935,1
GCA_017165435,3
GCA_014235665,127
GCA_016889565,5
GCA_014217055,1
GCA_016760935,121
GCA_013167255,5
GCA_016942655,4
GCA_014607555,2
GCA_016903435,5
GCA_016776365,1
GCA_017939305,148
GCA_013166955,1
GCA_019219525,164
GCA_013185295,113
GCA_013185445,217
GCA_013344585,7
GCA_016775945,1
GCA_016837845,218
GCA_013424455,114
GCA_017570585,11
GCA_014170995,2
GCA_016889485,1
GCA_017355085,2
GCA_014338525,1
GCA_013185735,123
GCA_013167555,2
GCA_013185665,128
GCA_013201215,3
GCA_016903995,11
GCA_016761285,123
GCA_013359145,159
GCA_019282155,126
GCA_013167375,3
GCA_018884265,5
GCA_016776345,1
GCA_019282535,160
GCA_018862295,104
GCA_015139735,4
GCA_015561105,57
GCA_018863115,72
GCA_013424185,218
GCA_019282675,121
GCA_014623425,2
GCA_018208295,3
GCA_014903265,4
GCA_014075915,5
GCA_013167795,2
GCA_013423805,3
GCA_016776265,1
GCA_018862255,84
GCA_013315755,1
GCA_018884285,2
GCA_015160475,221
GCA_014522245,1
GCA_018628815,2
GCA_018443655,191
GCA_016761475,104
GCA_019281465,97
GCA_019282185,129
GCA_017160815,1
GCA_017165055,2
GCA_016888965,1
GCA_016761415,99
GCA_017165115,3
GCA_015697215,2
GCA_016432785,7
GCA_014876405,147
GCA_014876445,4
GCA_013168155,3
GCA_017165035,2
GCA_014623205,2
GCA_019219485,179
GCA_013168015,4
GCA_015643595,175
GCA_016456325,109
GCA_017579865,3
GCA_016760955,113
GCA_018862305,74
GCA_017088485,5
GCA_013456775,1
GCA_017355145,5
GCA_014170865,13
GCA_017164555,113
GCA_014861195,151
GCA_017352055,3
GCA_016889545,2
GCA_014903835,3
GCA_019282455,91
GCA_014529325,122
GCA_016776025,1
GCA_019282095,140
GCA_014898615,3
GCA_014169195,2
GCA_018884345,4
GCA_013315675,8
GCA_014075335,5
GCA_013425035,199
GCA_016091995,130
GCA_013166875,1
GCA_016916555,1
GCA_014962565,4
GCA_015135355,3
GCA_013391825,3
GCA_014854675,1
GCA_013618585,138
GCA_014903735,82
GCA_019282515,100
GCA_018417715,2
GCA_014155355,131
GCA_014169395,2
GCA_013315715,5
GCA_019219505,163
GCA_015571615,6
GCA_015555725,107
GCA_016904255,6
GCA_014526495,207
GCA_013315735,3
GCA_013358915,190
GCA_016803875,6
GCA_016904475,8
GCA_014169995,3
GCA_016904575,1
GCA_013167235,3
GCA_016761315,97
GCA_019091005,3
GCA_015136715,4
GCA_013167635,2
GCA_018422675,136
GCA_013372405,4
GCA_014863825,1
GCA_017165015,2
GCA_015353135,3
GCA_013343595,3
GCA_016942575,8
GCA_014876435,6
GCA_014529155,154
GCA_017896225,1
GCA_016904535,3
GCA_014857785,143
GCA_019281895,73
GCA_016404015,11
GCA_016904435,4
GCA_018798845,4
GCA_016404325,9
GCA_018442445,197
GCA_013167735,3
GCA_013167935,3
GCA_013201195,5
GCA_019269335,1
GCA_015033265,1
GCA_019282275,136
GCA_016942615,3
GCA_016756455,6
GCA_016889525,2
GCA_016458925,3
GCA_014216715,1
GCA_018442245,149
