assembly_id_simp,Contig_number,assembly_id,organism_name,organism_name_breed,strain,cultivar,ecotype,isolate,annotation_name,seq_length,assembly_level,release_date,wgs_project,contig_n50,scaffold_n50,sequencing_tech,submitter,bioproject,biosample,genes,protein_coding_genes,pseudogenes,checkM_marker_set,checkM_completeness,checkM_contamination
GCA_000692535,11,GCA_000692535.1,Escherichia coli BIDMC 72,NA,BIDMC 72,NA,NA,NA,Annotation submitted by Broad Institute,5089260,Scaffold,2014-05-19T00:00:00Z,NA,208212,1377008,Illumina,Broad Institute,PRJNA234160,SAMN02581293,4849,4753,1,Escherichia coli,98.97,0.46
GCA_000752135,237,GCA_000752135.1,Escherichia coli,NA,E. coli,NA,NA,NA,NA,5543118,Scaffold,2014-09-06T00:00:00Z,NA,89037,154451,NA,NTNU,PRJEB6447,SAMEA2593933,NA,NA,NA,Escherichia coli,99.54,0.24
GCA_000776815,54,GCA_000776815.1,Escherichia coli,NA,upec-70,NA,NA,NA,NA,4923831,Scaffold,2014-11-13T00:00:00Z,NA,179852,399301,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02802164,NA,NA,NA,Escherichia coli,98.86,0.56
GCA_000155125,2,GCA_000155125.1,Escherichia coli O157:H7 str. TW14588,NA,TW14588,NA,NA,NA,Annotation submitted by J Craig Venter Institute,5671197,Chromosome,2009-02-19T00:00:00Z,NA,1308668,5578816,NA,J Craig Venter Institute,PRJNA28847,SAMN02436234,6011,5803,30,Escherichia coli,98.21,0.15
GCA_000351665,15,GCA_000351665.1,Escherichia coli KTE72,NA,KTE72,NA,NA,NA,Annotation submitted by Broad Institute,5219548,Scaffold,2013-04-05T00:00:00Z,NA,277696,1086537,Illumina,Broad Institute,PRJNA164901,SAMN00854631,4974,4877,1,Escherichia coli,98.59,0.32
GCA_000164575,86,GCA_000164575.1,Escherichia coli MS 185-1,NA,MS 185-1,NA,NA,NA,Annotation submitted by Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,4962359,Scaffold,2010-05-26T00:00:00Z,NA,25775,237183,Illumina,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,PRJNA47267,SAMN00189175,5296,5194,NA,Escherichia coli,98.38,0.16
GCA_000488315,114,GCA_000488315.1,Escherichia coli 907391,NA,907391,NA,NA,NA,Annotation submitted by Washington University,5077905,Scaffold,2013-10-29T00:00:00Z,NA,94874,172301,Illumina,Washington University,PRJNA183803,SAMN02436739,5410,5299,NA,Escherichia coli,99.06,0.6
GCA_000176535,38,GCA_000176535.2,Escherichia coli H736,NA,H736,NA,NA,NA,Annotation submitted by Broad Institute,4707649,Scaffold,2011-04-29T00:00:00Z,NA,74874,2486028,454,Broad Institute,PRJNA39033,SAMN02595366,4781,4671,30,Escherichia coli,96.59,0.23
GCA_000408265,11,GCA_000408265.1,Escherichia coli KTE225,NA,KTE225,NA,NA,NA,Annotation submitted by Broad Institute,5296280,Scaffold,2013-06-04T00:00:00Z,NA,198742,5136951,Illumina,Broad Institute,PRJNA163463,SAMN00974080,5016,4921,1,Escherichia coli,98.83,0.28
GCA_000459035,5,GCA_000459035.1,Escherichia coli HVH 199 (4-5670322),NA,HVH 199 (4-5670322),NA,NA,NA,Annotation submitted by Broad Institute,5181958,Scaffold,2013-08-29T00:00:00Z,NA,279096,3736222,Illumina,Broad Institute,PRJNA186225,SAMN01885838,4951,4850,1,Escherichia coli,98.48,0.78
GCA_000616425,178,GCA_000616425.2,Escherichia coli O157:H7 str. 2011EL-2091,NA,2011EL-2091,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5351544,Scaffold,2014-04-07T00:00:00Z,NA,144824,148285,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353039,5100,4947,52,Escherichia coli,99.19,0.15
GCA_000777815,88,GCA_000777815.1,Escherichia coli,NA,upec-266,NA,NA,NA,NA,4991941,Scaffold,2014-11-13T00:00:00Z,NA,61917,217164,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02802093,NA,NA,NA,Escherichia coli,98.35,0.28
GCA_000616705,175,GCA_000616705.2,Escherichia coli O157:H7 str. 2011EL-2099,NA,2011EL-2099,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5349261,Scaffold,2014-04-07T00:00:00Z,NA,146400,148681,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353046,5096,4938,57,Escherichia coli,99.19,0.15
GCA_000352405,4,GCA_000352405.1,Escherichia coli KTE65,NA,KTE65,NA,NA,NA,Annotation submitted by Broad Institute,5182215,Scaffold,2013-04-05T00:00:00Z,NA,255985,3889032,Illumina,Broad Institute,PRJNA164887,SAMN00854624,4940,4859,1,Escherichia coli,98.95,0.89
GCA_000303295,448,GCA_000303295.2,Escherichia coli NE098,NA,NE098,NA,NA,NA,Annotation submitted by Institute for Genome Sciences,5322853,Scaffold,2012-10-12T00:00:00Z,NA,119559,143800,Illumina,Institute for Genome Sciences,PRJNA65837,SAMN00808718,5675,5583,3,Escherichia coli,99.41,0.15
GCA_000026325,3,GCA_000026325.2,Escherichia coli UMN026,NA,UMN026,NA,NA,NA,Annotation submitted by Genoscope,5358200,Chromosome,2008-12-18T00:00:00Z,NA,5202090,5202090,NA,Genoscope,PRJNA33415,SAMEA3138233,5301,5017,90,Escherichia coli,98.97,0.75
GCA_000753315,97,GCA_000753315.1,Escherichia coli,NA,E. coli,NA,NA,NA,NA,5044340,Scaffold,2014-09-06T00:00:00Z,NA,97286,166738,NA,NTNU,PRJEB6447,SAMEA2593918,NA,NA,NA,Escherichia coli,99.56,0.63
GCA_000777895,127,GCA_000777895.1,Escherichia coli,NA,upec-260,NA,NA,NA,NA,5235290,Scaffold,2014-11-13T00:00:00Z,NA,73388,216237,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02802087,NA,NA,NA,Escherichia coli,98.29,0.22
GCA_000460915,16,GCA_000460915.1,Escherichia coli UMEA 3220-1,NA,UMEA 3220-1,NA,NA,NA,Annotation submitted by Broad Institute,5158014,Scaffold,2013-08-29T00:00:00Z,NA,299632,800382,Illumina,Broad Institute,PRJNA186324,SAMN01885934,4854,4749,1,Escherichia coli,99.24,0.21
GCA_000457185,7,GCA_000457185.1,Escherichia coli HVH 84 (4-1021478),NA,HVH 84 (4-1021478),NA,NA,NA,Annotation submitted by Broad Institute,5241971,Scaffold,2013-08-29T00:00:00Z,NA,361776,3349286,Illumina,Broad Institute,PRJNA186106,SAMN01885733,4994,4890,1,Escherichia coli,99.02,0.82
GCA_000459115,3,GCA_000459115.1,Escherichia coli HVH 203 (4-3126218),NA,HVH 203 (4-3126218),NA,NA,NA,Annotation submitted by Broad Institute,5030945,Scaffold,2013-08-29T00:00:00Z,NA,417931,3730127,Illumina,Broad Institute,PRJNA186230,SAMN01885842,4760,4671,1,Escherichia coli,99.02,0.5
GCA_000457835,19,GCA_000457835.1,Escherichia coli HVH 126 (4-6034225),NA,HVH 126 (4-6034225),NA,NA,NA,Annotation submitted by Broad Institute,5595207,Scaffold,2013-08-29T00:00:00Z,NA,239623,2816260,Illumina,Broad Institute,PRJNA186146,SAMN01885773,5387,5286,1,Escherichia coli,99,0.65
GCA_000457855,18,GCA_000457855.1,Escherichia coli HVH 127 (4-7303629),NA,HVH 127 (4-7303629),NA,NA,NA,Annotation submitted by Broad Institute,5269607,Scaffold,2013-08-29T00:00:00Z,NA,239466,3217953,Illumina,Broad Institute,PRJNA186147,SAMN01885774,4967,4868,1,Escherichia coli,99.22,0.31
GCA_000460215,13,GCA_000460215.1,Escherichia coli UMEA 3121-1,NA,UMEA 3121-1,NA,NA,NA,Annotation submitted by Broad Institute,5371335,Scaffold,2013-08-29T00:00:00Z,NA,289036,1045796,Illumina,Broad Institute,PRJNA186288,SAMN01885898,5078,4971,1,Escherichia coli,98.83,0.46
GCA_000352045,11,GCA_000352045.1,Escherichia coli KTE171,NA,KTE171,NA,NA,NA,Annotation submitted by Broad Institute,4859600,Scaffold,2013-04-05T00:00:00Z,NA,206689,1868417,Illumina,Broad Institute,PRJNA165019,SAMN00854690,4621,4540,1,Escherichia coli,98.83,0.47
GCA_000461595,10,GCA_000461595.1,Escherichia coli UMEA 3702-1,NA,UMEA 3702-1,NA,NA,NA,Annotation submitted by Broad Institute,5072784,Scaffold,2013-08-29T00:00:00Z,NA,358587,1410366,Illumina,Broad Institute,PRJNA186368,SAMN01885977,4807,4708,1,Escherichia coli,99.18,0.53
GCA_000615415,220,GCA_000615415.2,Escherichia coli O145:NM str. 2010C-3526,NA,2010C-3526,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5433451,Scaffold,2014-04-07T00:00:00Z,NA,115329,133161,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02352974,5201,5004,97,Escherichia coli,99.01,0.62
GCA_000488655,185,GCA_000488655.1,Escherichia coli 908585,NA,908585,NA,NA,NA,Annotation submitted by Washington University,5049556,Scaffold,2013-10-29T00:00:00Z,NA,42027,132588,Illumina,Washington University,PRJNA183822,SAMN02436732,5375,5265,NA,Escherichia coli,99.03,0.52
GCA_000458745,23,GCA_000458745.1,Escherichia coli HVH 184 (4-3343286),NA,HVH 184 (4-3343286),NA,NA,NA,Annotation submitted by Broad Institute,5426841,Scaffold,2013-08-29T00:00:00Z,NA,290112,1436568,Illumina,Broad Institute,PRJNA186210,SAMN01885823,5308,5193,2,Escherichia coli,99.1,0.78
GCA_000692715,12,GCA_000692715.1,Escherichia coli CHS 69,NA,CHS 69,NA,NA,NA,Annotation submitted by Broad Institute,5388736,Scaffold,2014-05-19T00:00:00Z,NA,231547,3008490,Illumina,Broad Institute,PRJNA234238,SAMN02581371,5098,5010,1,Escherichia coli,99.02,0.65
GCA_000493595,4,GCA_000493595.1,Escherichia coli PMV-1,NA,PMV-1,NA,NA,NA,Annotation submitted by ULB,5210927,Complete Genome,2013-09-27T00:00:00Z,NA,4984940,4984940,NA,ULB,PRJEB4437,SAMEA2272347,5116,4843,NA,Escherichia coli,98.63,0.26
GCA_000776995,135,GCA_000776995.1,Escherichia coli,NA,upec-50,NA,NA,NA,NA,5080900,Scaffold,2014-11-13T00:00:00Z,NA,109136,147477,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02802142,NA,NA,NA,Escherichia coli,98.99,0.57
GCA_000458875,18,GCA_000458875.1,Escherichia coli HVH 191 (3-9341900),NA,HVH 191 (3-9341900),NA,NA,NA,Annotation submitted by Broad Institute,5370015,Scaffold,2013-08-29T00:00:00Z,NA,326055,626685,Illumina,Broad Institute,PRJNA186217,SAMN01885830,5140,5056,1,Escherichia coli,99.18,0.64
GCA_000616305,197,GCA_000616305.2,Escherichia coli O111:NM str. 2011C-3632,NA,2011C-3632,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5214964,Scaffold,2014-04-07T00:00:00Z,NA,99462,103903,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353032,5086,4878,94,Escherichia coli,99.04,0.72
GCA_000461815,16,GCA_000461815.1,Escherichia coli UMEA 3955-1,NA,UMEA 3955-1,NA,NA,NA,Annotation submitted by Broad Institute,5417113,Scaffold,2013-08-29T00:00:00Z,NA,236778,655652,Illumina,Broad Institute,PRJNA186379,SAMN01885988,5145,5049,1,Escherichia coli,99.2,0.48
GCA_000618705,198,GCA_000618705.2,Escherichia coli O121:H19 str. K5198,NA,K5198,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5128652,Scaffold,2014-04-08T00:00:00Z,NA,122243,139901,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353107,4892,4714,81,Escherichia coli,99.16,0.34
GCA_000692555,11,GCA_000692555.1,Escherichia coli BIDMC 73,NA,BIDMC 73,NA,NA,NA,Annotation submitted by Broad Institute,5076195,Scaffold,2014-05-19T00:00:00Z,NA,299922,3378647,Illumina,Broad Institute,PRJNA234161,SAMN02581294,4874,4771,1,Escherichia coli,98.61,0.38
GCA_000494995,14,GCA_000494995.1,Escherichia coli HVH 136 (4-5970458),NA,HVH 136 (4-5970458),NA,NA,NA,Annotation submitted by Broad Institute,5437587,Scaffold,2013-11-01T00:00:00Z,NA,269680,700104,Illumina,Broad Institute,PRJNA186161,SAMN01885781,5161,5065,1,Escherichia coli,99.21,0.91
