assembly_id_simp,Contig_number,assembly_id,assembly_name,organism_name,organism_name_breed,strain,cultivar,ecotype,isolate,annotation_name,seq_length,assembly_level,release_date,wgs_project,contig_n50,scaffold_n50,sequencing_tech,submitter,bioproject,biosample,genes,protein_coding_genes,pseudogenes,checkM_marker_set,checkM_completeness,checkM_contamination,genome_id,phylogroup,assembly_ID
GCA_000692535,11,GCA_000692535.1,Esch_coli_BIDMC_72_V1,Escherichia coli BIDMC 72,NA,BIDMC 72,NA,NA,NA,Annotation submitted by Broad Institute,5089260,Scaffold,2014-05-19T00:00:00Z,NA,208212,1377008,Illumina,Broad Institute,PRJNA234160,SAMN02581293,4849,4753,1,Escherichia coli,98.97,0.46,GCA_000692535.1_Esch_coli_BIDMC_72_V1_genomic,B2,NA
GCA_000752135,237,GCA_000752135.1,FHI51,Escherichia coli,NA,E. coli,NA,NA,NA,NA,5543118,Scaffold,2014-09-06T00:00:00Z,NA,89037,154451,NA,NTNU,PRJEB6447,SAMEA2593933,NA,NA,NA,Escherichia coli,99.54,0.24,GCA_000752135.1_FHI51_genomic,B1,NA
GCA_000776815,54,GCA_000776815.1,ASM77681v1,Escherichia coli,NA,upec-70,NA,NA,NA,NA,4923831,Scaffold,2014-11-13T00:00:00Z,NA,179852,399301,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02802164,NA,NA,NA,Escherichia coli,98.86,0.56,GCA_000776815.1_ASM77681v1_genomic,B2,NA
GCA_000155125,2,GCA_000155125.1,ASM15512v1,Escherichia coli O157:H7 str. TW14588,NA,TW14588,NA,NA,NA,Annotation submitted by J Craig Venter Institute,5671197,Chromosome,2009-02-19T00:00:00Z,NA,1308668,5578816,NA,J Craig Venter Institute,PRJNA28847,SAMN02436234,6011,5803,30,Escherichia coli,98.21,0.15,GCA_000155125.1_ASM15512v1_genomic,E,NA
GCA_000351665,15,GCA_000351665.1,Esch_coli_KTE72_V1,Escherichia coli KTE72,NA,KTE72,NA,NA,NA,Annotation submitted by Broad Institute,5219548,Scaffold,2013-04-05T00:00:00Z,NA,277696,1086537,Illumina,Broad Institute,PRJNA164901,SAMN00854631,4974,4877,1,Escherichia coli,98.59,0.32,GCA_000351665.1_Esch_coli_KTE72_V1_genomic,B2,NA
GCA_000164575,86,GCA_000164575.1,ASM16457v1,Escherichia coli MS 185-1,NA,MS 185-1,NA,NA,NA,Annotation submitted by Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,4962359,Scaffold,2010-05-26T00:00:00Z,NA,25775,237183,Illumina,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,PRJNA47267,SAMN00189175,5296,5194,NA,Escherichia coli,98.38,0.16,GCA_000164575.1_ASM16457v1_genomic,B2,NA
GCA_000488315,114,GCA_000488315.1,ASM48831v1,Escherichia coli 907391,NA,907391,NA,NA,NA,Annotation submitted by Washington University,5077905,Scaffold,2013-10-29T00:00:00Z,NA,94874,172301,Illumina,Washington University,PRJNA183803,SAMN02436739,5410,5299,NA,Escherichia coli,99.06,0.6,GCA_000488315.1_ASM48831v1_genomic,B2,NA
GCA_000176535,38,GCA_000176535.2,ASM17653v2,Escherichia coli H736,NA,H736,NA,NA,NA,Annotation submitted by Broad Institute,4707649,Scaffold,2011-04-29T00:00:00Z,NA,74874,2486028,454,Broad Institute,PRJNA39033,SAMN02595366,4781,4671,30,Escherichia coli,96.59,0.23,GCA_000176535.2_ASM17653v2_genomic,A,NA
GCA_000408265,11,GCA_000408265.1,Esch_coli_KTE225_V1,Escherichia coli KTE225,NA,KTE225,NA,NA,NA,Annotation submitted by Broad Institute,5296280,Scaffold,2013-06-04T00:00:00Z,NA,198742,5136951,Illumina,Broad Institute,PRJNA163463,SAMN00974080,5016,4921,1,Escherichia coli,98.83,0.28,GCA_000408265.1_Esch_coli_KTE225_V1_genomic,D,NA
GCA_000459035,5,GCA_000459035.1,Esch_coli_HVH_199_4-5670322_V1,Escherichia coli HVH 199 (4-5670322),NA,HVH 199 (4-5670322),NA,NA,NA,Annotation submitted by Broad Institute,5181958,Scaffold,2013-08-29T00:00:00Z,NA,279096,3736222,Illumina,Broad Institute,PRJNA186225,SAMN01885838,4951,4850,1,Escherichia coli,98.48,0.78,GCA_000459035.1_Esch_coli_HVH_199_4-5670322_V1_genomic,B2,NA
